PointSliceID,Room,RoomType,ObjecName,BLG,Floor,ReadingType,Alias
9057,344B,Breakroom,WATT-CENTER/FC-2.012030FE.EFFCLG-SP,Watt,3rd Floor,Cooling SP,344B Cooling SP
9135,344B,Breakroom,WATT-CENTER/FC-2.012030FE.EFFHTG-SP,Watt,3rd Floor,Heating SP,344B Heating SP
8935,325,Project Room,WATT-CENTER/FC-2.012043FE.ZN-T,Watt,3rd Floor,Temp,325 Temp
9120,344,Corridor,WATT-CENTER/FC-2.012031FE.EFFCLG-SP,Watt,3rd Floor,Cooling SP,344 Cooling SP
9072,344,Corridor,WATT-CENTER/FC-2.012031FE.EFFHTG-SP,Watt,3rd Floor,Heating SP,344 Heating SP
8921,329,Project Room,WATT-CENTER/FC-2.012041FE.ZN-T,Watt,3rd Floor,Temp,329 Temp
8879,344A,Corridor,WATT-CENTER/FC-2.012032FE.EFFCLG-SP,Watt,3rd Floor,Cooling SP,344A Cooling SP
8880,344A,Corridor,WATT-CENTER/FC-2.012032FE.EFFHTG-SP,Watt,3rd Floor,Heating SP,344A Heating SP
8916,331,Classroom,WATT-CENTER/FC-2.012040FE.ZN-T,Watt,3rd Floor,Temp,331 Temp
8909,333,Office,WATT-CENTER/FC-2.012039FE.ZN-T,Watt,3rd Floor,Temp,333 Temp
9164,339E,Office,WATT-CENTER/FC-2.012034FE.EFFCLG-SP,Watt,3rd Floor,Cooling SP,339E Cooling SP
9078,339E,Office,WATT-CENTER/FC-2.012034FE.EFFHTG-SP,Watt,3rd Floor,Heating SP,339E Heating SP
9103,344,Corridor,WATT-CENTER/FC-2.012031FE.ZN-T,Watt,3rd Floor,Temp,344 Temp
9147,344,Office,WATT-CENTER/FC-2.012033FE.ZN-T,Watt,3rd Floor,Temp,344 Temp
8892,339A,Office,WATT-CENTER/FC-2.012036FE.EFFCLG-SP,Watt,3rd Floor,Cooling SP,339A Cooling SP
8893,339A,Office,WATT-CENTER/FC-2.012036FE.EFFHTG-SP,Watt,3rd Floor,Heating SP,339A Heating SP
41443,408,Office,WATT-CENTER/FC-2.UF-4-1-10.ZN-T,Watt,4th Floor,Temp,408 Temp
45080,408,Office,WATT-CENTER/FC-2.UF-4-1-10.EFFCLG-SP,Watt,4th Floor,Cooling SP,408 Cooling SP
45093,408,Office,WATT-CENTER/FC-2.UF-4-1-10.EFFHTG-SP,Watt,4th Floor,Heating SP,408 Heating SP
8896,344H,Office,WATT-CENTER/FC-2.012037FE.EFFCLG-SP,Watt,3rd Floor,Cooling SP,344H Cooling SP
8897,344H,Office,WATT-CENTER/FC-2.012037FE.EFFHTG-SP,Watt,3rd Floor,Heating SP,344H Heating SP
