alert_name,metric,alias,units,alert_message,Building Standard Name,Building Description,database,column,sort_column,num_entries,time_dependent,occupancy_status,condition,value,alert_type,message_ID
Temp_High_warning_ASC,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Cooling SP = <Cooling SP> [deg-F]),ASC,Academic Success Center,CEVAC_ASC_TEMP_DAY,ActualValue,UTCDateTime,3,0,*,>,<Cooling SP ActualValue>,warning,26
Temp_High_alert_ASC,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Cooling SP = <Cooling SP> [deg-F]),ASC,Academic Success Center,CEVAC_ASC_TEMP_LATEST,ActualValue,UTCDateTime,1,0,*,>,<Cooling SP ActualValue>+3,alert,27
Temp_Low_warning_ASC,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Heating SP = <Heating SP> [deg-F]),ASC,Academic Success Center,CEVAC_ASC_TEMP_DAY,ActualValue,UTCDateTime,3,0,*,<,<Heating SP ActualValue>,warning,28
Temp_Low_alert_ASC,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Heating SP = <Heating SP> [deg-F]),ASC,Academic Success Center,CEVAC_ASC_TEMP_LATEST,ActualValue,UTCDateTime,1,0,*,<,<Heating SP ActualValue> -3,alert,29
Temp_High_warning_Lee3,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Cooling SP = <Cooling SP> [deg-F]),LEE_III,Lee III Hall,CEVAC_LEE_III_TEMP_DAY,ActualValue,UTCDateTime,3,0,*,>,<Cooling SP ActualValue>,warning,30
Temp_High_alert_Lee3,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Cooling SP = <Cooling SP> [deg-F]),LEE_III,Lee III Hall,CEVAC_LEE_III_TEMP_LATEST,ActualValue,UTCDateTime,1,0,*,>,<Cooling SP ActualValue>+3,alert,31
Temp_Low_warning_Lee3,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Heating SP = <Heating SP> [deg-F]),LEE_III,Lee III Hall,CEVAC_LEE_III_TEMP_DAY,ActualValue,UTCDateTime,3,0,*,<,<Heating SP ActualValue>,warning,32
Temp_Low_alert_Lee3,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Heating SP = <Heating SP> [deg-F]),LEE_III,Lee III Hall,CEVAC_LEE_III_TEMP_LATEST,ActualValue,UTCDateTime,1,0,*,<,<Heating SP ActualValue> -3,alert,33
Temp_High_warning_Cooper,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Cooling SP = <Cooling SP> [deg-F]),COOPER,Robert Muldrow Cooper Library,CEVAC_COOPER_TEMP_DAY,ActualValue,UTCDateTime,3,0,*,>,<Cooling SP ActualValue>,warning,34
Temp_High_alert_Cooper,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Cooling SP = <Cooling SP> [deg-F]),COOPER,Robert Muldrow Cooper Library,CEVAC_COOPER_TEMP_LATEST,ActualValue,UTCDateTime,1,0,*,>,<Cooling SP ActualValue>+3,alert,35
Temp_Low_warning_Cooper,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Heating SP = <Heating SP> [deg-F]),COOPER,Robert Muldrow Cooper Library,CEVAC_COOPER_TEMP_DAY,ActualValue,UTCDateTime,3,0,*,<,<Heating SP ActualValue>,warning,36
Temp_Low_alert_Cooper,TEMP,*,deg-F,<alias> reads <ActualValue> [deg-F] (Heating SP = <Heating SP> [deg-F]),COOPER,Robert Muldrow Cooper Library,CEVAC_COOPER_TEMP_LATEST,ActualValue,UTCDateTime,1,0,*,<,<Heating SP ActualValue> -3,alert,37
CO2_warning_ASC,IAQ,*,ppm,<alias> exceeds 1000 ppm.,ASC,Academic Success Center,CEVAC_ASC_IAQ_LATEST,ActualValue,UTCDateTime,1,1,1,>,1000,warning,38
CO2_alert_ASC,IAQ,*,ppm,<alias> exceeds 2000 ppm.,ASC,Academic Success Center,CEVAC_ASC_IAQ_LATEST,ActualValue,UTCDateTime,1,0,*,>,2000,alert,39
